path,class,label,max,top5_mean,top20_mean,mean
data\raw\mvtec_anomaly_detection\bottle\test\good\000.png,good,0,3.6674394607543945,3.5659327507019043,3.411181926727295,2.5596189498901367
data\raw\mvtec_anomaly_detection\bottle\test\good\001.png,good,0,4.083900451660156,3.6710383892059326,3.445690631866455,2.5070302486419678
data\raw\mvtec_anomaly_detection\bottle\test\good\002.png,good,0,3.87355375289917,3.583017349243164,3.389202117919922,2.5238192081451416
data\raw\mvtec_anomaly_detection\bottle\test\good\003.png,good,0,3.7019705772399902,3.551603317260742,3.3755745887756348,2.4899346828460693
data\raw\mvtec_anomaly_detection\bottle\test\good\004.png,good,0,3.710543632507324,3.577667713165283,3.402332305908203,2.499626874923706
data\raw\mvtec_anomaly_detection\bottle\test\good\005.png,good,0,3.569509267807007,3.5052599906921387,3.359907627105713,2.492184638977051
data\raw\mvtec_anomaly_detection\bottle\test\good\006.png,good,0,3.8131296634674072,3.704859495162964,3.522545576095581,2.5259430408477783
data\raw\mvtec_anomaly_detection\bottle\test\good\007.png,good,0,3.536703586578369,3.5047194957733154,3.3918163776397705,2.5285208225250244
data\raw\mvtec_anomaly_detection\bottle\test\good\008.png,good,0,4.014873027801514,3.7152397632598877,3.4774222373962402,2.512895345687866
data\raw\mvtec_anomaly_detection\bottle\test\good\009.png,good,0,3.8138375282287598,3.6425118446350098,3.4223995208740234,2.526311159133911
data\raw\mvtec_anomaly_detection\bottle\test\good\010.png,good,0,3.93868088722229,3.7278285026550293,3.488590955734253,2.5626895427703857
data\raw\mvtec_anomaly_detection\bottle\test\good\011.png,good,0,3.6783742904663086,3.439392566680908,3.319781541824341,2.5079784393310547
data\raw\mvtec_anomaly_detection\bottle\test\good\012.png,good,0,3.8368637561798096,3.7013163566589355,3.476544141769409,2.5290322303771973
data\raw\mvtec_anomaly_detection\bottle\test\good\013.png,good,0,3.8687222003936768,3.6163926124572754,3.3917031288146973,2.4956600666046143
data\raw\mvtec_anomaly_detection\bottle\test\good\014.png,good,0,3.737170696258545,3.560894012451172,3.3683910369873047,2.4953770637512207
data\raw\mvtec_anomaly_detection\bottle\test\good\015.png,good,0,3.581496477127075,3.5408318042755127,3.4551994800567627,2.5343940258026123
data\raw\mvtec_anomaly_detection\bottle\test\good\016.png,good,0,3.9760031700134277,3.664491653442383,3.4143989086151123,2.5184054374694824
data\raw\mvtec_anomaly_detection\bottle\test\good\017.png,good,0,3.704740285873413,3.574070453643799,3.424515962600708,2.504655599594116
data\raw\mvtec_anomaly_detection\bottle\test\good\018.png,good,0,3.5840933322906494,3.47786283493042,3.3512237071990967,2.5031330585479736
data\raw\mvtec_anomaly_detection\bottle\test\good\019.png,good,0,4.153857231140137,3.6477038860321045,3.416975498199463,2.54118275642395
data\raw\mvtec_anomaly_detection\bottle\test\broken_large\000.png,broken_large,1,4.816858768463135,4.4266862869262695,4.120609283447266,2.7138876914978027
data\raw\mvtec_anomaly_detection\bottle\test\broken_large\001.png,broken_large,1,5.09670877456665,4.930607795715332,4.394564628601074,2.6573894023895264
data\raw\mvtec_anomaly_detection\bottle\test\broken_large\002.png,broken_large,1,4.691896438598633,4.394726753234863,4.008528232574463,2.727123975753784
data\raw\mvtec_anomaly_detection\bottle\test\broken_large\003.png,broken_large,1,4.16502046585083,4.099202632904053,3.9404678344726562,2.795982837677002
data\raw\mvtec_anomaly_detection\bottle\test\broken_large\004.png,broken_large,1,4.536050796508789,4.403891563415527,4.117043495178223,2.562183141708374
data\raw\mvtec_anomaly_detection\bottle\test\broken_large\005.png,broken_large,1,4.415319442749023,4.172922134399414,3.9372379779815674,2.599104642868042
data\raw\mvtec_anomaly_detection\bottle\test\broken_large\006.png,broken_large,1,4.764044284820557,4.586819648742676,4.135218143463135,2.679316997528076
data\raw\mvtec_anomaly_detection\bottle\test\broken_large\007.png,broken_large,1,4.178887367248535,4.08649206161499,3.877457857131958,2.6907968521118164
data\raw\mvtec_anomaly_detection\bottle\test\broken_large\008.png,broken_large,1,4.657102108001709,4.520965099334717,4.134825229644775,2.6739611625671387
data\raw\mvtec_anomaly_detection\bottle\test\broken_large\009.png,broken_large,1,4.302300930023193,4.180140972137451,3.8984084129333496,2.5982165336608887
data\raw\mvtec_anomaly_detection\bottle\test\broken_large\010.png,broken_large,1,4.509575366973877,4.248288154602051,3.9021735191345215,2.6299116611480713
data\raw\mvtec_anomaly_detection\bottle\test\broken_large\011.png,broken_large,1,4.460366725921631,4.290380954742432,4.012084007263184,2.5746452808380127
data\raw\mvtec_anomaly_detection\bottle\test\broken_large\012.png,broken_large,1,4.556133270263672,4.314842700958252,3.9664509296417236,2.6349740028381348
data\raw\mvtec_anomaly_detection\bottle\test\broken_large\013.png,broken_large,1,4.226925849914551,4.133756160736084,3.9215431213378906,2.7088589668273926
data\raw\mvtec_anomaly_detection\bottle\test\broken_large\014.png,broken_large,1,4.982819080352783,4.70446252822876,4.18189811706543,2.5959160327911377
data\raw\mvtec_anomaly_detection\bottle\test\broken_large\015.png,broken_large,1,4.3630828857421875,4.186988353729248,3.896023988723755,2.6515023708343506
data\raw\mvtec_anomaly_detection\bottle\test\broken_large\016.png,broken_large,1,4.763672351837158,4.539224147796631,4.236374378204346,2.719860553741455
data\raw\mvtec_anomaly_detection\bottle\test\broken_large\017.png,broken_large,1,4.7896599769592285,4.471182823181152,4.164531707763672,2.6710364818573
data\raw\mvtec_anomaly_detection\bottle\test\broken_large\018.png,broken_large,1,4.867763042449951,4.536853790283203,4.194868564605713,2.6995413303375244
data\raw\mvtec_anomaly_detection\bottle\test\broken_large\019.png,broken_large,1,4.68228816986084,4.445581912994385,4.085070610046387,2.71364164352417
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\000.png,broken_small,1,4.5830559730529785,4.233366966247559,3.7356441020965576,2.511385202407837
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\001.png,broken_small,1,4.579075336456299,4.39860200881958,4.010403156280518,2.548693895339966
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\002.png,broken_small,1,4.339901447296143,4.211476802825928,3.922023057937622,2.597700834274292
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\003.png,broken_small,1,4.857099533081055,4.585121154785156,4.207780361175537,2.6334550380706787
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\004.png,broken_small,1,4.963351726531982,4.824333190917969,4.347530841827393,2.5605790615081787
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\005.png,broken_small,1,4.640638828277588,4.356447219848633,3.9484786987304688,2.5634384155273438
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\006.png,broken_small,1,4.33209753036499,4.195239067077637,3.8778247833251953,2.5524563789367676
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\007.png,broken_small,1,4.596789360046387,4.191402435302734,3.767428159713745,2.5195910930633545
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\008.png,broken_small,1,4.563490390777588,4.1833109855651855,3.827986240386963,2.616945743560791
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\009.png,broken_small,1,4.374709129333496,4.222114086151123,3.8916335105895996,2.526815414428711
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\010.png,broken_small,1,4.777703762054443,4.550800323486328,4.064686298370361,2.5898566246032715
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\011.png,broken_small,1,4.437074661254883,4.10842227935791,3.7513458728790283,2.5426149368286133
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\012.png,broken_small,1,4.498300552368164,4.316229820251465,4.051610946655273,2.6441245079040527
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\013.png,broken_small,1,4.611233234405518,4.273691654205322,3.834368944168091,2.568075656890869
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\014.png,broken_small,1,4.470785617828369,3.954974412918091,3.6164214611053467,2.5161044597625732
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\015.png,broken_small,1,4.508236408233643,4.109988212585449,3.7716190814971924,2.6132490634918213
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\016.png,broken_small,1,4.5313262939453125,4.326674938201904,3.953918933868408,2.5594260692596436
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\017.png,broken_small,1,4.474186897277832,4.248709678649902,3.9283511638641357,2.560316801071167
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\018.png,broken_small,1,4.878285884857178,4.709169864654541,4.219550132751465,2.5992789268493652
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\019.png,broken_small,1,5.011895656585693,4.599148750305176,4.074558258056641,2.554042339324951
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\020.png,broken_small,1,5.166647911071777,4.496294975280762,3.990408420562744,2.6130645275115967
data\raw\mvtec_anomaly_detection\bottle\test\broken_small\021.png,broken_small,1,5.234422206878662,4.591249942779541,4.004055500030518,2.560493230819702
data\raw\mvtec_anomaly_detection\bottle\test\contamination\000.png,contamination,1,4.243438720703125,3.9304356575012207,3.687072277069092,2.6269168853759766
data\raw\mvtec_anomaly_detection\bottle\test\contamination\001.png,contamination,1,4.474547386169434,3.975834608078003,3.4774558544158936,2.5915708541870117
data\raw\mvtec_anomaly_detection\bottle\test\contamination\002.png,contamination,1,4.678064346313477,4.403027057647705,3.881740093231201,2.580919027328491
