layer,seed,patches_per_image,feature_dim,memory_rows,coverage_radius,p95_threshold,overall_auroc,overall_ap,broken_large_auroc,broken_small_auroc,contamination_auroc,p95_tp,p95_fp,p95_tn,p95_fn,p95_precision,p95_recall,p95_fpr,p95_f1
layer2,42,784,128,130928,3.511911392211914,4.214628219604492,0.9849206349206349,0.9954414369538642,1.0,1.0,0.9547619047619047,56,0,20,7,1.0,0.8888888888888888,0.0,0.9411764705882353
layer2,43,784,128,130928,3.462557792663574,4.267017364501953,0.9857142857142857,0.9953562625575485,0.995,0.990909090909091,0.9714285714285713,51,0,20,12,1.0,0.8095238095238095,0.0,0.8947368421052632
layer2,44,784,128,130928,3.5151681900024414,4.180561542510986,0.969047619047619,0.990958084739245,1.0,0.9977272727272727,0.9095238095238095,56,0,20,7,1.0,0.8888888888888888,0.0,0.9411764705882353
layer2,45,784,128,130928,3.5241057872772217,4.1191511154174805,0.9484126984126984,0.9817856642438518,0.9575,0.9568181818181818,0.9309523809523809,58,3,17,5,0.9508196721311475,0.9206349206349206,0.15,0.9354838709677418
layer2,46,784,128,130928,3.4610695838928223,4.25798225402832,0.9571428571428572,0.9840110923397871,0.96,0.9681818181818181,0.9428571428571428,54,3,17,9,0.9473684210526315,0.8571428571428571,0.15,0.9
layer3,42,196,256,32732,2.802464246749878,2.893784523010254,1.0,0.9999999999999998,1.0,1.0,1.0,63,0,20,0,1.0,1.0,0.0,1.0
layer3,43,196,256,32732,2.8018805980682373,3.028657913208008,0.9904761904761905,0.9972832722832721,1.0,1.0,0.9714285714285715,61,1,19,2,0.9838709677419355,0.9682539682539683,0.05,0.976
layer3,44,196,256,32732,2.7708370685577393,3.052204132080078,0.9968253968253968,0.9989838017340629,1.0,1.0,0.9904761904761904,63,1,19,0,0.984375,1.0,0.05,0.9921259842519685
layer3,45,196,256,32732,2.7593936920166016,3.130998134613037,1.0,0.9999999999999998,1.0,1.0,1.0,62,0,20,1,1.0,0.9841269841269841,0.0,0.9919999999999999
layer3,46,196,256,32732,2.740926504135132,2.9625463485717773,0.9992063492063492,0.999751984126984,1.0,1.0,0.9976190476190476,62,0,20,1,1.0,0.9841269841269841,0.0,0.9919999999999999
