repeat,image_index,path,pair_order,method,order_position,latency_ms,score
0,0,data\raw\mvtec_anomaly_detection\bottle\test\good\000.png,global_then_patch,global,1,31.964000081643462,4.017111778259277
0,0,data\raw\mvtec_anomaly_detection\bottle\test\good\000.png,global_then_patch,patch_layer3,2,23.573200101964176,2.6770708560943604
0,1,data\raw\mvtec_anomaly_detection\bottle\test\good\001.png,patch_then_global,patch_layer3,1,23.44649995211512,2.681241273880005
0,1,data\raw\mvtec_anomaly_detection\bottle\test\good\001.png,patch_then_global,global,2,27.18450000975281,3.3643033504486084
0,2,data\raw\mvtec_anomaly_detection\bottle\test\good\002.png,global_then_patch,global,1,27.35670004040003,4.055006504058838
0,2,data\raw\mvtec_anomaly_detection\bottle\test\good\002.png,global_then_patch,patch_layer3,2,22.453899960964918,2.7068002223968506
0,3,data\raw\mvtec_anomaly_detection\bottle\test\good\003.png,patch_then_global,patch_layer3,1,24.237200035713613,2.7398006916046143
0,3,data\raw\mvtec_anomaly_detection\bottle\test\good\003.png,patch_then_global,global,2,27.260700007900596,4.034146308898926
0,4,data\raw\mvtec_anomaly_detection\bottle\test\good\004.png,global_then_patch,global,1,29.49849993456155,3.626999616622925
0,4,data\raw\mvtec_anomaly_detection\bottle\test\good\004.png,global_then_patch,patch_layer3,2,25.610600016079843,2.6961357593536377
0,5,data\raw\mvtec_anomaly_detection\bottle\test\good\005.png,patch_then_global,patch_layer3,1,24.80980008840561,2.7214548587799072
0,5,data\raw\mvtec_anomaly_detection\bottle\test\good\005.png,patch_then_global,global,2,29.810899985022843,3.4188554286956787
0,6,data\raw\mvtec_anomaly_detection\bottle\test\good\006.png,global_then_patch,global,1,27.780700009316206,7.6024603843688965
0,6,data\raw\mvtec_anomaly_detection\bottle\test\good\006.png,global_then_patch,patch_layer3,2,22.767500020563602,2.781585693359375
0,7,data\raw\mvtec_anomaly_detection\bottle\test\good\007.png,patch_then_global,patch_layer3,1,24.152699974365532,2.7815933227539062
0,7,data\raw\mvtec_anomaly_detection\bottle\test\good\007.png,patch_then_global,global,2,25.637199985794723,3.7244253158569336
0,8,data\raw\mvtec_anomaly_detection\bottle\test\good\008.png,global_then_patch,global,1,25.435699964873493,4.842831134796143
0,8,data\raw\mvtec_anomaly_detection\bottle\test\good\008.png,global_then_patch,patch_layer3,2,22.700799978338182,2.761549234390259
0,9,data\raw\mvtec_anomaly_detection\bottle\test\good\009.png,patch_then_global,patch_layer3,1,22.404299932532012,2.7066855430603027
0,9,data\raw\mvtec_anomaly_detection\bottle\test\good\009.png,patch_then_global,global,2,25.85110010113567,3.3345985412597656
0,10,data\raw\mvtec_anomaly_detection\bottle\test\good\010.png,global_then_patch,global,1,25.379400001838803,4.065393924713135
0,10,data\raw\mvtec_anomaly_detection\bottle\test\good\010.png,global_then_patch,patch_layer3,2,25.699499994516373,2.860560178756714
0,11,data\raw\mvtec_anomaly_detection\bottle\test\good\011.png,patch_then_global,patch_layer3,1,22.68759999424219,2.6874184608459473
0,11,data\raw\mvtec_anomaly_detection\bottle\test\good\011.png,patch_then_global,global,2,29.57740006968379,3.5150983333587646
0,12,data\raw\mvtec_anomaly_detection\bottle\test\good\012.png,global_then_patch,global,1,34.379899967461824,3.5498414039611816
0,12,data\raw\mvtec_anomaly_detection\bottle\test\good\012.png,global_then_patch,patch_layer3,2,27.49989996664226,2.7570858001708984
0,13,data\raw\mvtec_anomaly_detection\bottle\test\good\013.png,patch_then_global,patch_layer3,1,26.690100086852908,2.7480809688568115
0,13,data\raw\mvtec_anomaly_detection\bottle\test\good\013.png,patch_then_global,global,2,28.992699924856424,3.0069215297698975
0,14,data\raw\mvtec_anomaly_detection\bottle\test\good\014.png,global_then_patch,global,1,26.644599973224103,3.568523645401001
0,14,data\raw\mvtec_anomaly_detection\bottle\test\good\014.png,global_then_patch,patch_layer3,2,22.71449996624142,2.782339096069336
0,15,data\raw\mvtec_anomaly_detection\bottle\test\good\015.png,patch_then_global,patch_layer3,1,25.26140003465116,2.729416608810425
0,15,data\raw\mvtec_anomaly_detection\bottle\test\good\015.png,patch_then_global,global,2,28.977899928577244,4.474905967712402
0,16,data\raw\mvtec_anomaly_detection\bottle\test\good\016.png,global_then_patch,global,1,31.358900014311075,3.8763203620910645
0,16,data\raw\mvtec_anomaly_detection\bottle\test\good\016.png,global_then_patch,patch_layer3,2,26.829999987967312,2.753270387649536
0,17,data\raw\mvtec_anomaly_detection\bottle\test\good\017.png,patch_then_global,patch_layer3,1,23.05359998717904,2.791172742843628
0,17,data\raw\mvtec_anomaly_detection\bottle\test\good\017.png,patch_then_global,global,2,28.092300053685904,3.6931324005126953
0,18,data\raw\mvtec_anomaly_detection\bottle\test\good\018.png,global_then_patch,global,1,28.286200016736984,4.722544193267822
0,18,data\raw\mvtec_anomaly_detection\bottle\test\good\018.png,global_then_patch,patch_layer3,2,28.55319995433092,2.7120490074157715
