method,measurement_scope,repeat,image_index,path,latency_ms,score
global,model_only,0,0,data\raw\mvtec_anomaly_detection\bottle\test\good\000.png,9.668000042438507,4.017113208770752
global,model_only,0,1,data\raw\mvtec_anomaly_detection\bottle\test\good\001.png,8.003999944776297,3.3643040657043457
global,model_only,0,2,data\raw\mvtec_anomaly_detection\bottle\test\good\002.png,7.791999960318208,4.0550055503845215
global,model_only,0,3,data\raw\mvtec_anomaly_detection\bottle\test\good\003.png,8.262299932539463,4.034144878387451
global,model_only,0,4,data\raw\mvtec_anomaly_detection\bottle\test\good\004.png,8.406999986618757,3.6270015239715576
global,model_only,0,5,data\raw\mvtec_anomaly_detection\bottle\test\good\005.png,7.966200006194413,3.4188554286956787
global,model_only,0,6,data\raw\mvtec_anomaly_detection\bottle\test\good\006.png,7.872599991969764,7.60245943069458
global,model_only,0,7,data\raw\mvtec_anomaly_detection\bottle\test\good\007.png,7.77410005684942,3.72442626953125
global,model_only,0,8,data\raw\mvtec_anomaly_detection\bottle\test\good\008.png,8.203999954275787,4.842831134796143
global,model_only,0,9,data\raw\mvtec_anomaly_detection\bottle\test\good\009.png,7.711799931712449,3.334599494934082
global,model_only,0,10,data\raw\mvtec_anomaly_detection\bottle\test\good\010.png,7.87770003080368,4.065394401550293
global,model_only,0,11,data\raw\mvtec_anomaly_detection\bottle\test\good\011.png,8.045500027947128,3.5150976181030273
global,model_only,0,12,data\raw\mvtec_anomaly_detection\bottle\test\good\012.png,7.91459996253252,3.549840211868286
global,model_only,0,13,data\raw\mvtec_anomaly_detection\bottle\test\good\013.png,8.000200032256544,3.0069220066070557
global,model_only,0,14,data\raw\mvtec_anomaly_detection\bottle\test\good\014.png,7.905999897047877,3.568521738052368
global,model_only,0,15,data\raw\mvtec_anomaly_detection\bottle\test\good\015.png,7.827399997040629,4.474905967712402
global,model_only,0,16,data\raw\mvtec_anomaly_detection\bottle\test\good\016.png,8.16100009251386,3.876321792602539
global,model_only,0,17,data\raw\mvtec_anomaly_detection\bottle\test\good\017.png,7.837299956008792,3.6931345462799072
global,model_only,0,18,data\raw\mvtec_anomaly_detection\bottle\test\good\018.png,7.823400082997978,4.722544193267822
global,model_only,0,19,data\raw\mvtec_anomaly_detection\bottle\test\good\019.png,7.844699895940721,4.36047887802124
global,model_only,0,20,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\000.png,7.9931000946089625,10.836047172546387
global,model_only,0,21,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\001.png,7.9246999230235815,10.990410804748535
global,model_only,0,22,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\002.png,8.06729996111244,13.593603134155273
global,model_only,0,23,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\003.png,7.800800027325749,14.632071495056152
global,model_only,0,24,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\004.png,8.395500015467405,7.820190906524658
global,model_only,0,25,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\005.png,7.880600052885711,5.357264518737793
global,model_only,0,26,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\006.png,7.812900003045797,11.094616889953613
global,model_only,0,27,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\007.png,7.742799934931099,12.122002601623535
global,model_only,0,28,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\008.png,7.908899919129908,12.101669311523438
global,model_only,0,29,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\009.png,7.677900022827089,6.992016315460205
global,model_only,0,30,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\010.png,7.540100021287799,9.243768692016602
global,model_only,0,31,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\011.png,7.5564999133348465,7.065302848815918
global,model_only,0,32,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\012.png,7.882800069637597,8.313076972961426
global,model_only,0,33,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\013.png,7.830799906514585,12.1090087890625
global,model_only,0,34,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\014.png,8.043800015002489,7.605071067810059
global,model_only,0,35,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\015.png,7.795399986207485,8.56758975982666
global,model_only,0,36,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\016.png,7.919800002127886,12.617391586303711
global,model_only,0,37,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\017.png,7.962399977259338,11.072625160217285
global,model_only,0,38,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\018.png,7.909600040875375,13.511702537536621
global,model_only,0,39,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\019.png,8.00690008327365,11.760763168334961
global,model_only,0,40,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\000.png,7.892100024037063,4.970334529876709
global,model_only,0,41,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\001.png,7.861499907448888,5.714140892028809
global,model_only,0,42,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\002.png,7.772100041620433,7.03446626663208
global,model_only,0,43,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\003.png,7.87770003080368,10.017215728759766
global,model_only,0,44,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\004.png,7.8629000345245,9.319269180297852
global,model_only,0,45,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\005.png,7.853399962186813,8.747062683105469
global,model_only,0,46,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\006.png,7.804499939084053,8.606796264648438
