method,repeat,image_index,path,decode_ms,preprocess_ms,h2d_ms,model_score_ms,stage_sum_ms,score
global,0,0,data\raw\mvtec_anomaly_detection\bottle\test\good\000.png,15.080800047144294,3.733400022611022,0.6057999562472105,7.567199994809926,26.987200020812452,4.017112731933594
global,0,1,data\raw\mvtec_anomaly_detection\bottle\test\good\001.png,16.080499975942075,4.608399933204055,0.6971999537199736,7.844200008548796,29.2302998714149,3.364304780960083
global,0,2,data\raw\mvtec_anomaly_detection\bottle\test\good\002.png,15.95379994250834,3.872400033287704,0.4152000183239579,10.792899993248284,31.034299987368286,4.05500602722168
global,0,3,data\raw\mvtec_anomaly_detection\bottle\test\good\003.png,14.485099934972823,4.348200047388673,0.5226000212132931,8.88980005402118,28.24570005759597,4.034145355224609
global,0,4,data\raw\mvtec_anomaly_detection\bottle\test\good\004.png,15.29760006815195,4.063299973495305,0.40300004184246063,9.831200004555285,29.595100088045,3.6270010471343994
global,0,5,data\raw\mvtec_anomaly_detection\bottle\test\good\005.png,14.738500001840293,3.9374999469146132,0.5539000267162919,10.246600024402142,29.47649999987334,3.418855667114258
global,0,6,data\raw\mvtec_anomaly_detection\bottle\test\good\006.png,14.800200005993247,4.241300048306584,0.36880001425743103,8.687700028531253,28.098000097088516,7.6024603843688965
global,0,7,data\raw\mvtec_anomaly_detection\bottle\test\good\007.png,14.833100023679435,4.383299965411425,0.5044999998062849,8.896699990145862,28.617599979043007,3.72442626953125
global,0,8,data\raw\mvtec_anomaly_detection\bottle\test\good\008.png,14.466600026935339,4.114600014872849,0.3785000881180167,8.717000018805265,27.67670014873147,4.842831134796143
global,0,9,data\raw\mvtec_anomaly_detection\bottle\test\good\009.png,14.450900023803115,4.128200002014637,0.37809996865689754,8.468599990010262,27.42579998448491,3.3345985412597656
global,0,10,data\raw\mvtec_anomaly_detection\bottle\test\good\010.png,14.48999997228384,4.044199944473803,0.5282999482005835,8.736699935980141,27.799199800938368,4.065393924713135
global,0,11,data\raw\mvtec_anomaly_detection\bottle\test\good\011.png,14.280200004577637,3.9344000397250056,0.3551000263541937,8.47490003798157,27.044600108638406,3.515097141265869
